season,date,total
winter,1/10/2013,385
winter,1/17/2013,575
winter,1/24/2013,432
winter,1/31/2013,457
winter,2/7/2013,464
winter,2/14/2013,555
winter,2/21/2013,533
winter,2/28/2013,535
winter,3/7/2013,457
winter,3/14/2013,564
winter,3/21/2013,521
spring,3/28/2013,560
spring,4/4/2013,575
spring,4/11/2013,539
spring,4/18/2013,517
spring,4/25/2013,558
spring,5/2/2013,597
spring,5/9/2013,685
spring,5/16/2013,498
spring,5/25/2013,590
spring,6/1/2013,508
spring,6/8/2013,503
spring,6/15/2013,651
summer,6/22/2013,550
summer,6/29/2013,589
summer,7/6/2013,538
summer,7/13/2013,467
summer,7/20/2013,605
summer,7/27/2013,512
summer,8/3/2013,560
summer,8/10/2013,526
summer,8/17/2013,569
summer,8/24/2013,576
summer,8/31/2013,550
summer,9/7/2013,547
summer,9/14/2013,544
summer,9/21/2013,555
fall,9/28/2013,579
fall,10/5/2013,528
fall,10/12/2013,543
fall,10/19/2013,581
fall,10/26/2013,552
fall,11/2/2013,514
fall,11/9/2013,568
fall,11/16/2013,569
fall,11/23/2013,580
fall,11/30/2013,412
fall,12/7/2013,608
fall,12/14/2013,656
fall,12/21/2013,534
winter2,12/28/2013,430
